source_path,title,domain_or_collection,document_type,current_classification,proposed_disposition,proposed_archive_path,reason,superseded_by,canonical_replacement,historical_value,referenced_by_canonical_docs,incoming_repo_links_count,link_break_risk,special_handling,confidence
docs/architecture_audits/2026-09-05-storefront-appearance-builder-architecture-audit.md,2026-09-05-storefront-appearance-builder-architecture-audit.md,storefront_presentation,QA_EVIDENCE,QA_EVIDENCE,ARCHIVE_CANDIDATE,docs/archive/architecture_audits/2026-09-05-storefront-appearance-builder-architecture-audit.md,Phase-4 archive group C_audits_qa; historical/superseded report/audit/reference with no canonical dependency,,,MEDIUM,0,0,LOW,C_audits_qa,MEDIUM
docs/architecture_audits/final_closure_pack/01-current-product-capability-inventory.md,01-current-product-capability-inventory.md,cross_cutting,QA_EVIDENCE,QA_EVIDENCE,ARCHIVE_CANDIDATE,docs/archive/architecture_audits/final_closure_pack/01-current-product-capability-inventory.md,Phase-4 archive group C_audits_qa; historical/superseded report/audit/reference with no canonical dependency,,,MEDIUM,0,0,LOW,C_audits_qa,MEDIUM
docs/architecture_audits/final_closure_pack/02-source-of-truth-and-writer-census.md,02-source-of-truth-and-writer-census.md,cross_cutting,QA_EVIDENCE,QA_EVIDENCE,ARCHIVE_CANDIDATE,docs/archive/architecture_audits/final_closure_pack/02-source-of-truth-and-writer-census.md,Phase-4 archive group C_audits_qa; historical/superseded report/audit/reference with no canonical dependency,,,MEDIUM,0,0,LOW,C_audits_qa,MEDIUM
docs/architecture_audits/final_closure_pack/03-component-contract-and-builder-coverage.md,03-component-contract-and-builder-coverage.md,storefront_presentation,QA_EVIDENCE,QA_EVIDENCE,ARCHIVE_CANDIDATE,docs/archive/architecture_audits/final_closure_pack/03-component-contract-and-builder-coverage.md,Phase-4 archive group C_audits_qa; historical/superseded report/audit/reference with no canonical dependency,,,MEDIUM,0,0,LOW,C_audits_qa,MEDIUM
docs/architecture_audits/final_closure_pack/04-50-template-dna-reality-check.md,04-50-template-dna-reality-check.md,storefront_presentation,QA_EVIDENCE,QA_EVIDENCE,ARCHIVE_CANDIDATE,docs/archive/architecture_audits/final_closure_pack/04-50-template-dna-reality-check.md,Phase-4 archive group C_audits_qa; historical/superseded report/audit/reference with no canonical dependency,,,MEDIUM,0,0,LOW,C_audits_qa,MEDIUM
docs/architecture_audits/final_closure_pack/05-runtime-parity-and-quality-readiness.md,05-runtime-parity-and-quality-readiness.md,cross_cutting,QA_EVIDENCE,QA_EVIDENCE,ARCHIVE_CANDIDATE,docs/archive/architecture_audits/final_closure_pack/05-runtime-parity-and-quality-readiness.md,Phase-4 archive group C_audits_qa; historical/superseded report/audit/reference with no canonical dependency,,,MEDIUM,0,0,LOW,C_audits_qa,MEDIUM
docs/architecture_audits/final_closure_pack/06-legacy-retirement-and-migration-readiness.md,06-legacy-retirement-and-migration-readiness.md,cross_cutting,QA_EVIDENCE,QA_EVIDENCE,ARCHIVE_CANDIDATE,docs/archive/architecture_audits/final_closure_pack/06-legacy-retirement-and-migration-readiness.md,Phase-4 archive group C_audits_qa; historical/superseded report/audit/reference with no canonical dependency,,,MEDIUM,0,0,LOW,C_audits_qa,MEDIUM
docs/architecture_audits/final_closure_pack/07-master-current-state-blueprint.md,07-master-current-state-blueprint.md,cross_cutting,QA_EVIDENCE,QA_EVIDENCE,ARCHIVE_CANDIDATE,docs/archive/architecture_audits/final_closure_pack/07-master-current-state-blueprint.md,Phase-4 archive group C_audits_qa; historical/superseded report/audit/reference with no canonical dependency,,,MEDIUM,0,0,LOW,C_audits_qa,MEDIUM
docs/architecture_decisions/2026-09-05-storefront-appearance-convergence-decision-baseline.md,2026-09-05-storefront-appearance-convergence-decision-baseline.md,storefront_presentation,SUPPORTING,SUPPORTING,KEEP_CANONICAL_SUPPORT,,SUPPORTING doc supporting current architecture; retain as canonical support,,,SUPPORTS_CURRENT,0,0,NONE,,MEDIUM
docs/architecture_reviews/2026-09-05-kiro-storefront-appearance-convergence-workflow-review.md,2026-09-05-kiro-storefront-appearance-convergence-workflow-review.md,storefront_presentation,HISTORICAL,HISTORICAL,KEEP_HISTORICAL_REFERENCE,,Historical/evidence doc (HISTORICAL) not in a Phase-4 archive group; retain as historical reference (conservative default),,,HIGH,0,0,NONE,,MEDIUM
