claim_id,source_doc,claim_summary,code_reality,classification,decision_required,evidence
CL-01,docs/docs/product/architecture/SAAS_ARCHITECTURE.md,"Store (apps.stores.Store) is the authoritative tenant/data-ownership boundary; app is the platform, not the store",Confirmed: request.store resolution + universal Store FK; Phase1 D1/Phase2,MATCHES_CODE,NO,Phase1 doc02 D1; Phase2 doc05
CL-02,SAAS_ARCHITECTURE.md,Store is NOT Vendor; Vendor's final domain meaning deferred to a catalog review,Both models exist; coexistence contract still not fully expressed in code (A1),MATCHES_CODE,YES,"Phase2 doc03 A1 (ambiguous, doc records the deferral)"
CL-03,SAAS_ARCHITECTURE.md,PR 4.1 (store context propagation) is 'open as a pull request — not yet merged',Store context propagation is implemented in the frozen code,STALE,NO,Foundation-era PR-status prose predates snapshot ~2 months
CL-04,SAAS_ARCHITECTURE.md / ADR-3,Store has one explicit status: provisioning/active/suspended/closed,Confirmed exactly in Store.Status,MATCHES_CODE,NO,Phase1 doc03; Phase2
CL-05,ADR-2,"Store ownership via active StoreMembership role=OWNER, no Store.owner field",Confirmed; uniq_active_owner_per_store constraint,MATCHES_CODE,NO,Phase1 doc03
CL-06,ADR-11 / master-ref 9.1,Store resolution is hostname-authoritative with fail-closed compatibility fallback,Confirmed: resolve_store_for_hostname sole resolver; fail-closed,MATCHES_CODE,NO,Phase1 doc08 Flow0; Phase2 doc05
CL-07,master-ref 9.3 / 10.2,Middleware is not a complete authorization boundary (known limitation),Confirmed: StoreResolutionMiddleware sets request.store only; auth via decorators,MATCHES_CODE,NO,Phase1 doc02 D1/D11
CL-08,PAYMENT_ARCHITECTURE.md 4,State ownership: PaymentAttempt.status owned by gateway_payment_service; Order.payment_status updated by gateway on success,INCOMPLETE: Order.payment_status ALSO written by payment_service.simulate_payment and refund_service; no transition table (H1),STALE,YES,Phase2 doc01 H1 (3 writers); doc omits simulate+refund + REFUNDED
CL-09,PAYMENT_ARCHITECTURE.md 5,Gateway success path creates a Transaction record + transitions order to PROCESSING,Confirmed exactly (incl. legacy Transaction 'for dashboard back-compat'),MATCHES_CODE,NO,Phase2 doc01 H1
CL-10,PAYMENT_ARCHITECTURE.md 8,Concurrency: select_for_update + conditional PENDING->PAID update + attempt.is_final idempotency,Confirmed exactly in gateway_payment_service,MATCHES_CODE,NO,Phase2 doc01 H1 code read
CL-11,PAYMENT_ARCHITECTURE.md 11 / ADR-33,Automatic/gateway refunds NOT implemented; only MANUAL refund is real,Confirmed: refund_service raises for GATEWAY method,MATCHES_CODE,NO,Phase1 doc03; ADR-33
CL-12,PAYMENT_ARCHITECTURE.md 6,COD marks attempt SUCCEEDED but order stays PENDING (paid on delivery),Confirmed in gateway_payment_service/cod adapter,MATCHES_CODE,NO,Phase1 doc04; doc08
CL-13,ADR-7 / ADR-10,Payment provider and per-store payment config are separate; store config as direct models not generic table,Confirmed BUT dual gateway representation (PaymentGateway legacy + PaymentGatewayConfig) creates ambiguity (M4/A4),MATCHES_CODE,YES,Phase2 doc03 A4
CL-14,ADR-73 / ADR-72,"SaaS billing is a separate domain from merchant commerce payments; plan change alters entitlements, payment is 5B",Confirmed: separate payment-attempt/provider/refund models (two money systems),MATCHES_CODE,NO,Phase1 doc02; doc03
CL-15,ADR-76 / ADR-77,"Billing webhooks land in verified idempotent inbox before any business mutation; confirmation is one transactional idempotent service, never in the view",Confirmed exactly (webhook_service.ingest_webhook + confirmation_service.confirm_payment),MATCHES_CODE,NO,Phase1 doc08 Flow7; doc10
CL-16,ADR-66,StoreSubscription transitions governed by ALLOWED_TRANSITIONS,Confirmed: subscription_service ALLOWED_TRANSITIONS,MATCHES_CODE,NO,Phase2 doc04
CL-17,ADR-31 / ADR-38,Inventory is a ledger (StockMovement); Product/Variant.stock is single authoritative field; WarehouseInventory synced,Confirmed: inventory_service ledger; QuerySet blocks bulk bypass,MATCHES_CODE,NO,Phase1 doc03/doc06
CL-18,ADR-37,"Warehouse provisioning is explicit idempotent service call, never a Django signal",Confirmed: 0 signals in codebase,MATCHES_CODE,NO,Phase1 doc05; Phase2 doc05
CL-19,ADR-15,Checkout idempotency is a server-held token on Cart,Confirmed: Cart.checkout_token -> Order.idempotency_key,MATCHES_CODE,NO,Phase1 doc03/doc08 Flow2
CL-20,ADR-16 / ADR-17,"admin_subdomain is platform-assigned, independent of StoreDomain; /admin-portal/ canonical; resolve_store_for_admin_request enforcement",Confirmed: separate admin-host resolver + staff_required,MATCHES_CODE,NO,Phase1 doc02 D1/D11
CL-21,ADR-34 / ADR-35,ReturnRequest has its own state machine separate from Order.status; order financial/return state in dedicated fields,Confirmed: ReturnRequest.ALLOWED_TRANSITIONS (model-level),MATCHES_CODE,NO,Phase2 doc04
CL-22,ADR-58 / ADR-69,Product import writes only through service/model layer; limits enforced in service layer so bulk/import cannot bypass,"PARTIAL: import routes via services, BUT dashboard views also write Product/content/config directly (H2/M5) - a second write surface exists at the view layer",CONTRADICTS_CODE,YES,Phase2 doc01 H2; doc02 (dashboard direct writes)
